"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"115","18 jaar of ouder","Waarde",2022,"Hardinxveld-Giessendam","Gemeente  ",18.5,8
"116","18 jaar of ouder","Waarde",2022,"Harlingen","Gemeente  ",18.3,8.4
"117","18 jaar of ouder","Waarde",2022,"Hattem","Gemeente  ",16.1,6.9
"118","18 jaar of ouder","Waarde",2022,"Heemskerk","Gemeente  ",21,9.8
"119","18 jaar of ouder","Waarde",2022,"Heemstede","Gemeente  ",17,6.7
"120","18 jaar of ouder","Waarde",2022,"Heerde","Gemeente  ",15.9,6.9
"121","18 jaar of ouder","Waarde",2022,"Heerenveen","Gemeente  ",18.8,8.4
"122","18 jaar of ouder","Waarde",2022,"Heerlen","Gemeente  ",29.2,14.4
"123","18 jaar of ouder","Waarde",2022,"Heeze-Leende","Gemeente  ",16.6,6.4
"124","18 jaar of ouder","Waarde",2022,"Heiloo","Gemeente  ",17.4,7.3
"125","18 jaar of ouder","Waarde",2022,"Den Helder","Gemeente  ",22,11.1
"126","18 jaar of ouder","Waarde",2022,"Hellendoorn","Gemeente  ",16.1,7.1
"127","18 jaar of ouder","Waarde",2022,"Hellevoetsluis","Gemeente  ",21.3,9.5
"128","18 jaar of ouder","Waarde",2022,"Helmond","Gemeente  ",23.7,11.5
"129","18 jaar of ouder","Waarde",2022,"Hendrik-Ido-Ambacht","Gemeente  ",20,8.7
"130","18 jaar of ouder","Waarde",2022,"Hengelo","Gemeente  ",21.5,10.7
"131","18 jaar of ouder","Waarde",2022,"'s-Hertogenbosch","Gemeente  ",22.2,10.3
"132","18 jaar of ouder","Waarde",2022,"Heumen","Gemeente  ",16.8,6.8
"133","18 jaar of ouder","Waarde",2022,"Heusden","Gemeente  ",19,8.2
"134","18 jaar of ouder","Waarde",2022,"Hillegom","Gemeente  ",20,9.1
"135","18 jaar of ouder","Waarde",2022,"Hilvarenbeek","Gemeente  ",16.4,6.2
"136","18 jaar of ouder","Waarde",2022,"Hilversum","Gemeente  ",23.2,10.4
"137","18 jaar of ouder","Waarde",2022,"Hoeksche Waard","Gemeente  ",18.5,7.6
"138","18 jaar of ouder","Waarde",2022,"Hof van Twente","Gemeente  ",15.7,6.8
"139","18 jaar of ouder","Waarde",2022,"Het Hogeland","Gemeente  ",18.9,8
"140","18 jaar of ouder","Waarde",2022,"Hollands Kroon","Gemeente  ",18.3,8.2
"141","18 jaar of ouder","Waarde",2022,"Hoogeveen","Gemeente  ",19.3,9.1
"142","18 jaar of ouder","Waarde",2022,"Hoorn","Gemeente  ",22.2,10.5
"143","18 jaar of ouder","Waarde",2022,"Horst aan de Maas","Gemeente  ",18.4,7.4
"144","18 jaar of ouder","Waarde",2022,"Houten","Gemeente  ",18.2,7.7
"145","18 jaar of ouder","Waarde",2022,"Huizen","Gemeente  ",20.2,9
"146","18 jaar of ouder","Waarde",2022,"Hulst","Gemeente  ",21.3,8.8
"147","18 jaar of ouder","Waarde",2022,"IJsselstein","Gemeente  ",20.8,9.3
"148","18 jaar of ouder","Waarde",2022,"Kaag en Braassem","Gemeente  ",18,7.7
