"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","Jongeren..15.tot.27.jaar...aantal.","Leeftijd","Marges","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"95","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Geldrop-Mierlo",5300,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.8
"96","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gemert-Bakel",4100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.7
"97","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gennep",2100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.9
"98","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gilze en Rijen",3600,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.2
"99","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goeree-Overflakkee",6800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"100","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goes",5100,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.3
"101","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goirle",2700,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.6
"102","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gooise Meren",7100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.2
"103","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gorinchem",5400,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.6
"104","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gouda",10600,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.4
"105","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","'s-Gravenhage (gemeente)",85000,NA,NA,NA,NA,NA
"106","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Groningen (gemeente)",61400,NA,NA,NA,NA,NA
"107","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gulpen-Wittem",1500,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.5
"108","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Haaksbergen",3200,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.6
"109","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Haarlem",20700,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.1
"110","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Haarlemmermeer",22800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.9
"111","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Halderberge",3800,"18 jaar of ouder","Waarde","Gemeente  ",NA,6
"112","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hardenberg",9300,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.7
"113","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Harderwijk",6800,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.5
"114","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hardinxveld-Giessendam",2800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.2
"115","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Harlingen",2100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"116","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hattem",1600,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.3
"117","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heemskerk",5300,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.1
"118","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heemstede",2900,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.3
"119","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heerde",2400,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.4
"120","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heerenveen",6900,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"121","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heerlen",10900,"18 jaar of ouder","Waarde","Gemeente  ",NA,11.5
"122","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heeze-Leende",2000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.3
"123","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heiloo",3100,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.4
"124","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Den Helder",7200,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.9
"125","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hellendoorn",5000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.3
"126","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Helmond",13400,"18 jaar of ouder","Waarde","Gemeente  ",NA,8.6
"127","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hendrik-Ido-Ambacht",4200,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.6
"128","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hengelo (O.)",12100,NA,NA,NA,NA,NA
"129","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","'s-Hertogenbosch",22500,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.5
"130","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heumen",2200,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.2
