"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal.","unemployment_pct_change"
"252","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","De Bilt",5300,0
"253","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Fryske Marren",6800,NA
"254","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","De Fryske Marren",6800,0
"255","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","De Fryske Marren",6900,1.471
"256","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","De Fryske Marren",6700,-2.899
"257","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Ronde Venen",6000,NA
"258","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","De Ronde Venen",5900,-1.667
"259","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","De Ronde Venen",5900,0
"260","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","De Ronde Venen",5900,0
"261","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Wolden",3200,NA
"262","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","De Wolden",3200,0
"263","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","De Wolden",3200,0
"264","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","De Wolden",3100,-3.125
"265","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Delft",25600,NA
"266","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Delft",26200,2.344
"267","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Delft",26500,1.145
"268","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Delft",28300,6.792
"269","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Den Helder",7200,NA
