"","Onderwijsvolgend","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","aantal_jongeren","nietwerkzame_jongeren"
"165","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leudal",4700,1200
"166","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leusden",3900,1100
"167","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lingewaard",6200,1700
"168","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lisse",3000,700
"169","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lochem",4000,1200
"170","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Loon op Zand",3000,600
"171","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lopik",2400,500
"172","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Losser",3100,800
"173","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Maasdriel",3500,800
"174","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Maasgouw",2800,800
"175","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Maashorst",8100,1800
"176","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Maassluis",4300,1100
"177","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Maastricht",27300,14500
"178","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Medemblik",6200,1500
"179","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Meerssen",2200,600
"180","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Meierijstad",11200,2400
"181","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Meppel",5000,1600
"182","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Middelburg (Z.)",7000,2200
"183","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Midden-Delfland",2800,700
"184","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Midden-Drenthe",4400,1100
"185","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Midden-Groningen",7800,2600
"186","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Moerdijk",4800,1200
"187","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Molenlanden",7100,1500
"188","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Montferland",4800,1200
"189","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Montfoort",2100,400
"190","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Mook en Middelaar",1000,300
"191","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Neder-Betuwe",4000,700
"192","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nederweert",2300,400
"193","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nieuwegein",8600,2400
"194","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nieuwkoop",3900,800
"195","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nijkerk",6200,1400
"196","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nijmegen",38100,13600
"197","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nissewaard",11300,3400
"198","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Noardeast-Fryslân",6300,1800
"199","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Noord-Beveland",800,200
"200","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Noordenveld",3500,1100
"201","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Noordoostpolder",6900,2000
"202","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Noordwijk",5800,1700
"203","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nuenen, Gerwen en Nederwetten",2800,900
"204","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nunspeet",4100,800
"205","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oegstgeest",3100,1500
"206","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oirschot",2600,500
"207","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oisterwijk",4200,1100
"208","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oldambt",4800,1600
"209","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oldebroek",3300,800
"210","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oldenzaal",4200,1100
"211","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Olst-Wijhe",2500,600
"212","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ommen",2500,600
"213","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oost Gelre",4300,900
"214","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oosterhout",7100,1800
"215","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ooststellingwerf",3100,900
"216","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oostzaan",1300,400
"217","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Opmeer",1800,300
"218","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Opsterland",4100,1200
"219","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oss",13300,3500
"220","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oude IJsselstreek",5400,1500
"221","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ouder-Amstel",2000,800
"222","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Oudewater",1400,400
"223","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Overbetuwe",6500,1900
"224","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Papendrecht",4400,1200
"225","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Peel en Maas",5900,1100
"226","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Pekela",1500,500
"227","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Pijnacker-Nootdorp",8200,2800
"228","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Purmerend",12700,3800
"229","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Putten",3500,700
"230","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Raalte",5200,1100
"231","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Reimerswaal",3600,700
"232","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Renkum",3400,1300
"233","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Renswoude",900,200
"234","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Reusel-De Mierden",1600,300
"235","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rheden",5500,2000
"236","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rhenen",2800,700
"237","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ridderkerk",5900,1600
"238","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rijssen-Holten",5900,1100
"239","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rijswijk (ZH.)",6200,2400
"240","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Roerdalen",2200,600
"241","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Roermond",7600,2300
"242","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Ronde Venen",6000,1700
"243","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Roosendaal",10800,3000
"244","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rotterdam",110000,43000
"245","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rozendaal",200,100
"246","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Rucphen",2800,600
"247","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Schagen",6400,1600
"248","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Scherpenzeel",1500,300
"249","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Schiedam",11600,4000
"250","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Schiermonnikoog",100,0
"251","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Schouwen-Duiveland",4100,800
"252","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Simpelveld",1200,300
