"","Periode","Gemeente","Aantal_werklozen_15_27","Leeftijd","Regio_type","Psychische_klachten","Hoog_risico_angst_depressie"
"319","2020","Weststellingwerf",3300,"18 jaar of ouder","Gemeente  ",NA,4.8
"320","2020","Wierden",3400,"18 jaar of ouder","Gemeente  ",NA,3.9
"321","2020","Wijchen",5600,"18 jaar of ouder","Gemeente  ",NA,5.9
"322","2020","Wijdemeren",3000,"18 jaar of ouder","Gemeente  ",NA,4.4
"323","2020","Wijk bij Duurstede",3200,"18 jaar of ouder","Gemeente  ",NA,5.1
"324","2020","Winterswijk",4000,"18 jaar of ouder","Gemeente  ",NA,6
"325","2020","Woensdrecht",2700,"18 jaar of ouder","Gemeente  ",NA,5.8
"326","2020","Woerden",7400,"18 jaar of ouder","Gemeente  ",NA,5.2
"327","2020","De Wolden",3200,"18 jaar of ouder","Gemeente  ",NA,3.6
"328","2020","Wormerland",2300,"18 jaar of ouder","Gemeente  ",NA,5.5
"329","2020","Woudenberg",2000,"18 jaar of ouder","Gemeente  ",NA,4.7
"330","2020","Zaanstad",21700,"18 jaar of ouder","Gemeente  ",NA,7.7
