"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"54","18 jaar of ouder","Waarde",2020,"Bunnik","Bunnik                                  ","Gemeente  ","GM0312              ",82.3,"       .",11.3,12.1,44.5,31.2,"       .","       .",4,7.8
"55","18 jaar of ouder","Waarde",2020,"Bunschoten","Bunschoten                              ","Gemeente  ","GM0313              ",83,"       .",13.9,16.2,39.6,29.2,"       .","       .",5,8.3
"56","18 jaar of ouder","Waarde",2020,"Buren","Buren                                   ","Gemeente  ","GM0214              ",79.9,"    45.7",15.9,16.6,45.4,31.9,"       .","       .",4.5,7.9
"57","18 jaar of ouder","Waarde",2020,"Capelle aan den IJssel","Capelle aan den IJssel                  ","Gemeente  ","GM0502              ",76.7,"    41.9",17.7,17.5,51.1,33.7,"       .","       .",7.4,12.8
"58","18 jaar of ouder","Waarde",2020,"Castricum","Castricum                               ","Gemeente  ","GM0383              ",82.1,"    58.3",11.5,12.6,36.9,31.3,"       .","       .",4.2,7.8
"59","18 jaar of ouder","Waarde",2020,"Coevorden","Coevorden                               ","Gemeente  ","GM0109              ",78.5,"    46.9",18.3,18.1,40.3,34.8,"       .","       .",4.9,9.4
"60","18 jaar of ouder","Waarde",2020,"Cranendonck","Cranendonck                             ","Gemeente  ","GM1706              ",78.3,"    50.5",14.9,15,39.7,32,"       .","       .",5.6,10.2
"61","18 jaar of ouder","Waarde",2020,"Culemborg","Culemborg                               ","Gemeente  ","GM0216              ",77.5,"    49.6",15.6,16,49.6,33.4,"       .","       .",6.4,10.4
"62","18 jaar of ouder","Waarde",2020,"Dalfsen","Dalfsen                                 ","Gemeente  ","GM0148              ",83.4,"    50.8",14.8,14.4,40.5,29.8,"       .","       .",3.7,7.9
"63","18 jaar of ouder","Waarde",2020,"Dantumadiel","Dantumadiel                             ","Gemeente  ","GM1891              ",79.8,"    46.6",15.9,17.4,43.3,34.3,"       .","       .",4.4,7.7
"64","18 jaar of ouder","Waarde",2020,"Delft","Delft                                   ","Gemeente  ","GM0503              ",78.8,"    51.9",13.1,17.7,44.4,30,"       .","       .",8.4,13.8
"65","18 jaar of ouder","Waarde",2020,"Deurne","Deurne                                  ","Gemeente  ","GM0762              ",78.4,"    51.1",15,14.8,38.5,32,"       .","       .",5.6,9.5
"66","18 jaar of ouder","Waarde",2020,"Deventer","Deventer                                ","Gemeente  ","GM0150              ",78.8,"    50.7",16.8,20,43.3,33.8,"       .","       .",7.9,11.8
"67","18 jaar of ouder","Waarde",2020,"Diemen","Diemen                                  ","Gemeente  ","GM0384              ",80.6,"    49.4",13,18.7,43.3,29,"       .","       .",7.7,13.1
"68","18 jaar of ouder","Waarde",2020,"Dijk en Waard","Dijk en Waard                           ","Gemeente  ","GM1980              ",80.5,"    54.5",14.4,16.2,40.1,31.4,"       .","       .",5.8,9.3
"69","18 jaar of ouder","Waarde",2020,"Dinkelland","Dinkelland                              ","Gemeente  ","GM1774              ",83.2,"    55.1",13.6,14.7,32.7,27.5,"       .","       .",3.8,7.5
"70","18 jaar of ouder","Waarde",2020,"Doesburg","Doesburg                                ","Gemeente  ","GM0221              ",75,"    50.0",18.6,18.9,44.4,38.2,"       .","       .",7.9,12.2
"71","18 jaar of ouder","Waarde",2020,"Doetinchem","Doetinchem                              ","Gemeente  ","GM0222              ",78.8,"    52.6",17.4,18,40.6,34.8,"       .","       .",6.8,11
"72","18 jaar of ouder","Waarde",2020,"Dongen","Dongen                                  ","Gemeente  ","GM0766              ",79,"    47.2",16.9,15.6,41.4,31.9,"       .","       .",5.9,10
"73","18 jaar of ouder","Waarde",2020,"Dordrecht","Dordrecht                               ","Gemeente  ","GM0505              ",76,"    44.6",18.7,18.6,51.7,33.9,"       .","       .",7.8,12.7
"74","18 jaar of ouder","Waarde",2020,"Drechterland","Drechterland                            ","Gemeente  ","GM0498              ",81.7,"    53.0",13.6,15,38.4,30.5,"       .","       .",4.5,7.7
"75","18 jaar of ouder","Waarde",2020,"Drimmelen","Drimmelen                               ","Gemeente  ","GM1719              ",79.8,"    45.8",16.3,14.8,38.6,30.9,"       .","       .",4.8,9
"76","18 jaar of ouder","Waarde",2020,"Dronten","Dronten                                 ","Gemeente  ","GM0303              ",80.8,"    49.6",15.8,17.3,46.3,32.2,"       .","       .",5.5,9.3
"77","18 jaar of ouder","Waarde",2020,"Druten","Druten                                  ","Gemeente  ","GM0225              ",77.3,"    45.7",16.9,17,42.5,33.3,"       .","       .",5.9,9.7
"78","18 jaar of ouder","Waarde",2020,"Duiven","Duiven                                  ","Gemeente  ","GM0226              ",79.2,"    52.6",17.1,16.3,39.9,34.5,"       .","       .",6.2,10
"79","18 jaar of ouder","Waarde",2020,"Echt-Susteren","Echt-Susteren                           ","Gemeente  ","GM1711              ",74,"    46.9",17.7,16.9,46.1,37.8,"       .","       .",6.4,11.9
