"","Geslacht","Leeftijd","Hoogst.behaald.onderwijsniveau","Perioden","Beroepsbevolking.Werkloosheidspercentage...."
"182","Vrouwen","60 tot 65 jaar","Totaal",2021,3.5
"183","Vrouwen","60 tot 65 jaar","Totaal",2022,4.1
"184","Vrouwen","60 tot 65 jaar","Totaal",2023,3.2
"185","Vrouwen","60 tot 65 jaar","Totaal",2024,2.4
"186","Vrouwen","65 tot 70 jaar","Totaal",2020,2.5
"187","Vrouwen","65 tot 70 jaar","Totaal",2021,5.2
"188","Vrouwen","65 tot 70 jaar","Totaal",2022,4.9
"189","Vrouwen","65 tot 70 jaar","Totaal",2023,4.1
"190","Vrouwen","65 tot 70 jaar","Totaal",2024,2.7
"191","Vrouwen","70 tot 75 jaar","Totaal",2020,5.6
"192","Vrouwen","70 tot 75 jaar","Totaal",2021,3.5
"193","Vrouwen","70 tot 75 jaar","Totaal",2022,5.3
"194","Vrouwen","70 tot 75 jaar","Totaal",2023,3
"195","Vrouwen","70 tot 75 jaar","Totaal",2024,3.7
