"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal."
"129","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen op Zoom",8900
"130","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergen op Zoom",8900
"131","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergen op Zoom",9000
"132","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergen op Zoom",9000
"133","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Berkelland",5900
"134","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Berkelland",5800
"135","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Berkelland",5900
"136","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Berkelland",5800
"137","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bernheze",4700
"138","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bernheze",4600
"139","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bernheze",4800
"140","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bernheze",4700
"141","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Best",4400
"142","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Best",4400
"143","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Best",4300
"144","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Best",4200
"145","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beuningen",3400
"146","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beuningen",3400
"147","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beuningen",3300
"148","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beuningen",3300
"149","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beverwijk",5600
"150","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beverwijk",5700
"151","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beverwijk",5800
"152","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beverwijk",5800
"153","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Bilt",5300
"154","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","De Bilt",5200
"155","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","De Bilt",5300
"156","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","De Bilt",5300
"157","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bladel",2900
"158","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bladel",2900
"159","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bladel",2900
"160","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bladel",2800
"161","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Blaricum",1200
"162","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Blaricum",1300
"163","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Blaricum",1300
"164","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Blaricum",1300
"165","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bloemendaal",2800
"166","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bloemendaal",2700
"167","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bloemendaal",2800
"168","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bloemendaal",2800
"169","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bodegraven-Reeuwijk",5000
"170","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bodegraven-Reeuwijk",4900
"171","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bodegraven-Reeuwijk",5000
"172","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bodegraven-Reeuwijk",4900
"173","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boekel",1700
"174","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Boekel",1600
"175","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Boekel",1700
"176","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Boekel",1700
"177","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borger-Odoorn",3100
"178","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Borger-Odoorn",3100
"179","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Borger-Odoorn",3100
"180","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Borger-Odoorn",3000
"181","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borne",3000
"182","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Borne",3000
"183","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Borne",3100
"184","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Borne",3000
"185","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borsele",3100
"186","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Borsele",3100
"187","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Borsele",3200
"188","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Borsele",3100
"189","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boxtel",4600
"190","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Boxtel",4500
"191","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Boxtel",4700
"192","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Boxtel",4700
